Date,Open,High,Low,Adj Close,Volume
2/12/2007,3.015357,3.042143,2.986786,2.569681,724071600
2/13/2007,3.041429,3.046071,3.010714,2.564231,580986000
2/14/2007,3.0225,3.058571,3.020357,2.582397,507981600
2/15/2007,3.051429,3.057857,3.027857,2.579672,363661200
2/16/2007,3.044643,3.050357,3.023571,2.568167,399868000
2/20/2007,3.023214,3.077143,3.005714,2.60056,617702400
2/21/2007,3.070714,3.196071,3.07,2.700464,1155313600
2/22/2007,3.242857,3.243214,3.161786,2.709851,838224800
2/23/2007,3.184286,3.226429,3.173214,2.696529,517893600
2/26/2007,3.208571,3.214286,3.128929,2.679576,615848800
2/27/2007,3.082143,3.11,2.978929,2.54092,1145813200
2/28/2007,2.964286,3.057143,2.964286,2.561507,919475200
3/1/2007,3.001071,3.153929,2.991071,2.635679,1415528800
3/2/2007,3.098929,3.126429,3.043214,2.585727,860000400
3/5/2007,3.0675,3.166071,3.062857,2.613275,838899600
3/6/2007,3.135714,3.153929,3.121429,2.669889,723186800
3/7/2007,3.144643,3.1775,3.123214,2.655659,626284400
3/8/2007,3.163929,3.168571,3.123571,2.664136,511011200
3/9/2007,3.171429,3.173214,3.121429,2.663228,451836000
3/12/2007,3.145357,3.213929,3.1425,2.720749,729408400
3/13/2007,3.193214,3.235714,3.157143,2.676247,867890800
3/14/2007,3.164286,3.214286,3.14,2.724686,796586000
3/15/2007,3.212857,3.227143,3.189643,2.711667,559498800
3/16/2007,3.197857,3.213929,3.19,2.712272,571704000
3/19/2007,3.222857,3.269643,3.199643,2.758895,712961200
3/20/2007,3.2625,3.28,3.252143,2.769491,488916400
3/21/2007,3.285357,3.357143,3.273214,2.841846,686896000
3/22/2007,3.3475,3.37,3.321429,2.84457,561492400
3/23/2007,3.333929,3.359643,3.332143,2.831251,450884000
3/26/2007,3.356786,3.425,3.332143,2.901789,864987200
3/27/2007,3.418214,3.458214,3.392857,2.889983,932052800
3/28/2007,3.388571,3.407143,3.326786,2.822773,942337200
3/29/2007,3.363929,3.363929,3.293929,2.838213,725723600
3/30/2007,3.367143,3.381429,3.3125,2.812782,600558000
4/2/2007,3.362143,3.366071,3.322143,2.835186,501992400
4/3/2007,3.362143,3.401071,3.348571,2.860919,583934400
4/4/2007,3.390714,3.397857,3.361786,2.853956,476784000
4/5/2007,3.361429,3.381429,3.34,2.866368,355516000
4/9/2007,3.400357,3.403571,3.322857,2.835186,413341600
4/10/2007,3.345357,3.366429,3.336071,2.85335,352466800
4/11/2007,3.353571,3.355357,3.2975,2.803096,549018400
4/12/2007,3.287143,3.296786,3.24,2.790986,656675600
4/13/2007,3.246429,3.264286,3.216429,2.73195,719941600
4/16/2007,3.234643,3.267857,3.223214,2.767977,609033600
4/17/2007,3.285714,3.296429,3.203571,2.735281,751920400
4/18/2007,3.22,3.244643,3.2,2.736794,464044000
4/19/2007,3.221071,3.258929,3.208214,2.732859,425913600
4/20/2007,3.246071,3.256429,3.233929,2.754051,522779600
4/23/2007,3.271071,3.35,3.265,2.830948,780290000
4/24/2007,3.355714,3.4425,3.260714,2.822773,1055252800
4/25/2007,3.365357,3.407143,3.35,2.886652,1187144000
4/26/2007,3.627857,3.660714,3.510714,2.992309,1737778000
4/27/2007,3.506429,3.569643,3.488929,3.025006,699403600
4/30/2007,3.574643,3.607143,3.559643,3.021373,616509600
5/1/2007,3.556786,3.583929,3.519643,3.011382,532523600
5/2/2007,3.558929,3.590714,3.5525,3.039234,505145200
5/3/2007,3.5975,3.623214,3.571786,3.039537,576077600
5/4/2007,3.6,3.628571,3.589286,3.051949,381987200
5/7/2007,3.61,3.726786,3.6075,3.146103,861557200
5/8/2007,3.695357,3.755357,3.693571,3.180616,783997200
5/9/2007,3.746786,3.82,3.746071,3.235715,717757600
5/10/2007,3.808214,3.887143,3.782857,3.249641,1197257600
5/11/2007,3.847857,3.8975,3.813571,3.292024,653696400
5/14/2007,3.915,3.928571,3.866071,3.310795,651946400
5/15/2007,3.913214,3.935714,3.802857,3.25509,954514400
5/16/2007,3.876071,3.886786,3.693571,3.249641,1126767600
5/17/2007,3.826786,3.923929,3.826786,3.313217,735291200
5/18/2007,3.936786,3.951429,3.920357,3.330776,621345200
5/21/2007,3.939643,4.016071,3.930357,3.390114,639892400
5/22/2007,4.0175,4.0625,4.000357,3.437341,572409600
5/23/2007,4.072143,4.107143,4.021071,3.417663,911374800
5/24/2007,4.028929,4.087857,3.941786,3.35106,887362000
5/25/2007,4,4.063571,3.982143,3.439764,632959600
5/29/2007,4.0875,4.102143,4.024643,3.461865,645694000
5/30/2007,4.082143,4.245714,4.054643,3.595676,1478444800
5/31/2007,4.288214,4.363214,4.269286,3.66894,1297066400
6/1/2007,4.325,4.328214,4.224643,3.584475,885262000
6/4/2007,4.236786,4.3475,4.210714,3.673178,886673200
6/5/2007,4.336071,4.381786,4.303571,3.713746,920785600
6/6/2007,4.367857,4.430357,4.355357,3.743111,1112241200
6/7/2007,4.463929,4.5575,4.399643,3.756128,1915079600
6/8/2007,4.493571,4.493929,4.3675,3.768845,1241682400
6/11/2007,4.5,4.505357,4.269286,3.638665,1874258400
6/12/2007,4.2625,4.346786,4.225357,3.644418,1426566400
6/13/2007,4.326786,4.328214,4.121429,3.557228,1721353200
6/14/2007,4.185714,4.266071,4.157857,3.59507,973266000
6/15/2007,4.307857,4.309643,4.280714,3.64805,811218800
6/18/2007,4.402857,4.470714,4.376429,3.787008,910604800
6/19/2007,4.453214,4.464643,4.389643,3.743718,943026000
6/20/2007,4.423929,4.452143,4.339286,3.679838,897512000
6/21/2007,4.346429,4.438929,4.311429,3.750983,867045200
6/22/2007,4.423214,4.444643,4.370714,3.723736,631876000
6/25/2007,4.435357,4.4675,4.323571,3.703756,965403600
6/26/2007,4.427857,4.428571,4.24,3.622316,1345005200
6/27/2007,4.3075,4.358571,4.259286,3.690132,974696800
6/28/2007,4.37,4.374643,4.285714,3.649866,838143600
6/29/2007,4.356071,4.428571,4.324643,3.694672,1137841600
7/2/2007,4.323214,4.360357,4.260714,3.671059,994862400
7/3/2007,4.357143,4.55,4.339286,3.849981,1162481600
7/5/2007,4.6,4.748929,4.596071,4.018909,1453051600
7/6/2007,4.754643,4.762143,4.657143,4.005286,874694800
7/9/2007,4.727857,4.746429,4.613571,3.945646,995820000
