Date,Open,High,Low,Close,Volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,,,,,,
11/20/2023,189.889999,191.910004,189.880005,191.449997,46505100,1.46,1.39,0.07,5.036,,,,,,
11/17/2023,190.25,190.380005,188.570007,189.690002,50922700,1.46,1.39,0.07,5.036,,,,,,
11/16/2023,189.570007,190.960007,188.649994,189.710007,54412900,1.46,1.39,0.07,5.036,,,,,,
11/15/2023,187.850006,189.5,187.779999,188.009995,53790500,1.46,1.39,0.07,5.036,,,,,,
11/14/2023,187.699997,188.110001,186.300003,187.440002,60108400,1.46,1.39,0.07,5.036,,,,,,
11/13/2023,185.820007,186.029999,184.210007,184.800003,43627500,1.46,1.39,0.07,5.036,,,,,,
11/10/2023,183.970001,186.570007,183.529999,186.399994,66133400,1.46,1.39,0.07,5.036,,,,,,
11/9/2023,182.960007,184.119995,181.809998,182.169998,53763500,1.46,1.39,0.07,5.036,,,,,,
11/8/2023,182.350006,183.449997,181.589996,182.649368,49340300,1.46,1.39,0.07,5.036,,,,,,
11/7/2023,179.179993,182.440002,178.970001,181.58078,70530000,1.46,1.39,0.07,5.036,,,,,,
11/6/2023,176.380005,179.429993,176.210007,178.994186,63841300,1.46,1.39,0.07,5.036,,,,,,
11/3/2023,174.240005,176.820007,173.350006,176.417572,79763700,1.46,1.39,0.07,5.036,,,,,,
11/2/2023,175.520004,177.779999,175.460007,177.33638,77334800,1.46,1.39,0.07,5.036,,,,,,
11/1/2023,171,174.229996,170.119995,173.741104,56934900,1.26,1.19,0.07,5.8824,,,,,,
10/31/2023,169.350006,170.899994,167.899994,170.545319,44846000,1.26,1.19,0.07,5.8824,,,,,,
10/30/2023,169.020004,171.169998,168.869995,170.065933,51131000,1.26,1.19,0.07,5.8824,,,,,,
10/27/2023,166.910004,168.960007,166.830002,167.998672,58499100,1.26,1.19,0.07,5.8824,,,,,,
10/26/2023,170.369995,171.380005,165.669998,166.670425,70625300,1.26,1.19,0.07,5.8824,,,,,,
10/25/2023,171.880005,173.059998,170.649994,170.874893,57157000,1.26,1.19,0.07,5.8824,,,,,,
10/24/2023,173.050003,173.669998,171.449997,173.211807,43816600,1.26,1.19,0.07,5.8824,,,,,,
10/23/2023,170.910004,174.009995,169.929993,172.772385,55980100,1.26,1.19,0.07,5.8824,,,,,,
10/20/2023,175.309998,175.419998,172.639999,172.652542,64189300,1.26,1.19,0.07,5.8824,,,,,,
10/19/2023,176.039993,177.839996,175.190002,175.229156,59302900,1.26,1.19,0.07,5.8824,,,,,,
10/18/2023,175.580002,177.580002,175.110001,175.608643,54764400,1.26,1.19,0.07,5.8824,,,,,,
10/17/2023,176.649994,178.419998,174.800003,176.916916,57549400,1.26,1.19,0.07,5.8824,,,,,,
10/16/2023,176.75,179.080002,176.509995,178.484863,52517000,1.26,1.19,0.07,5.8824,,,,,,
10/13/2023,181.419998,181.929993,178.139999,178.614685,51427100,1.26,1.19,0.07,5.8824,,,,,,
10/12/2023,180.070007,182.339996,179.039993,180.472244,56743100,1.26,1.19,0.07,5.8824,,,,,,
10/11/2023,178.199997,179.850006,177.600006,179.563431,47551100,1.26,1.19,0.07,5.8824,,,,,,
10/10/2023,178.100006,179.720001,177.949997,178.155289,43698000,1.26,1.19,0.07,5.8824,,,,,,
10/9/2023,176.809998,179.050003,175.800003,178.754501,42390800,1.26,1.19,0.07,5.8824,,,,,,
10/6/2023,173.800003,177.990005,173.179993,177.256485,57224100,1.26,1.19,0.07,5.8824,,,,,,
10/5/2023,173.789993,175.449997,172.679993,174.679871,48527900,1.26,1.19,0.07,5.8824,,,,,,
10/4/2023,171.089996,174.210007,170.970001,173.431519,53020300,1.26,1.19,0.07,5.8824,,,,,,
10/3/2023,172.259995,173.630005,170.820007,172.173172,49594600,1.26,1.19,0.07,5.8824,,,,,,
10/2/2023,171.220001,174.300003,170.929993,173.521393,52164500,1.26,1.19,0.07,5.8824,,,,,,
9/29/2023,172.020004,173.070007,170.339996,170.984741,51814200,1.26,1.19,0.07,5.8824,,,,,,
9/28/2023,169.339996,172.029999,167.619995,170.465424,56294400,1.26,1.19,0.07,5.8824,,,,,,
9/27/2023,172.619995,173.039993,169.050003,170.20575,66921800,1.26,1.19,0.07,5.8824,,,,,,
9/26/2023,174.820007,175.199997,171.660004,171.733749,64588900,1.26,1.19,0.07,5.8824,,,,,,
9/25/2023,174.199997,176.970001,174.149994,175.848328,46172700,1.26,1.19,0.07,5.8824,,,,,,
9/22/2023,174.669998,177.080002,174.050003,174.560013,56725400,1.26,1.19,0.07,5.8824,,,,,,
9/21/2023,174.550003,176.300003,173.860001,173.701157,63047900,1.26,1.19,0.07,5.8824,,,,,,
9/20/2023,179.259995,179.699997,175.399994,175.259109,58436200,1.26,1.19,0.07,5.8824,,,,,,
9/19/2023,177.520004,179.630005,177.130005,178.834396,51826900,1.26,1.19,0.07,5.8824,,,,,,
9/18/2023,176.479996,179.380005,176.169998,177.73584,67257600,1.26,1.19,0.07,5.8824,,,,,,
9/15/2023,176.479996,176.5,173.820007,174.779724,109205100,1.26,1.19,0.07,5.8824,,,,,,
9/14/2023,174,176.100006,173.580002,175.508789,60895800,1.26,1.19,0.07,5.8824,,,,,,
9/13/2023,176.509995,177.300003,173.979996,173.980789,84267900,1.26,1.19,0.07,5.8824,,,,,,
9/12/2023,179.490005,180.130005,174.820007,176.068039,90370200,1.26,1.19,0.07,5.8824,,,,,,
9/11/2023,180.070007,180.300003,177.339996,179.124008,58953100,1.26,1.19,0.07,5.8824,,,,,,
9/8/2023,178.350006,180.240005,177.789993,177.945557,65551300,1.26,1.19,0.07,5.8824,,,,,,
9/7/2023,175.179993,178.210007,173.539993,177.326385,112488800,1.26,1.19,0.07,5.8824,,,,,,
9/6/2023,188.399994,188.850006,181.470001,182.669342,81755800,1.26,1.19,0.07,5.8824,,,,,,
9/5/2023,188.279999,189.979996,187.610001,189.450409,45280000,1.26,1.19,0.07,5.8824,,,,,,
9/1/2023,189.490005,189.919998,188.279999,189.210739,45732600,1.26,1.19,0.07,5.8824,,,,,,
8/31/2023,187.839996,189.119995,187.479996,187.622818,60794500,1.26,1.19,0.07,5.8824,,,,,,
8/30/2023,184.940002,187.850006,184.740005,187.403107,60813900,1.26,1.19,0.07,5.8824,,,,,,
8/29/2023,179.699997,184.899994,179.5,183.877747,53003900,1.26,1.19,0.07,5.8824,,,,,,
